1883.48,590.25,22.237,-90,8.627
2401.83,3815.4,30.299,-90,14.453
2166.0,2389.96,7.488,-90,14.201
805.36,2958.78,21.602,-90,17.1
519.69,3904.25,25.79,-90,21.108
1534.28,384.11,27.523,-90,25.519
945.23,262.5,22.455,-90,24.584
446.53,1856.19,20.101,-90,21.728
1609.42,3743.61,17.095,-90,12.714
3584.81,3077.16,29.727,-90,24.407
2431.04,318.59,16.822,-90,22.17
569.98,1824.84,23.986,-90,19.56
3904.14,1421.27,31.714,-90,16.57
3580.37,2456.15,9.628,-90,10.512
2539.52,2165.97,26.179,-90,22.375
3129.06,3974.32,27.652,-90,20.185
568.12,3145.36,17.948,-90,20.404
2442.71,2703.65,5.914,-90,16.238
1283.83,3068.84,18.417,-90,24.722
484.05,3888.0,21.523,-90,20.339
3842.57,3759.36,17.949,-90,12.26
2956.04,1806.45,16.272,-90,0.244
3866.53,2706.13,25.819,-90,21.061
2480.05,57.21,29.817,-90,17.279
1889.88,1165.45,19.87,-90,24.661
3328.09,2333.62,25.915,-90,24.293
1466.16,991.22,24.568,-90,17.948
2076.85,3710.71,25.539,-90,20.034
3923.21,1563.01,32.579,-90,18.984
1937.17,1742.35,29.405,-90,19.408
2602.37,709.67,26.434,-90,21.291
387.04,3726.41,34.554,-90,19.921
3527.06,3854.58,22.661,-90,18.693
1278.78,2883.47,28.625,-90,22.919
2062.2,1135.3,19.944,-90,18.241
1915.63,299.24,30.522,-90,11.493
3811.12,2685.18,26.413,-90,18.94
2417.74,2806.42,19.709,-90,18.106
196.42,5.65,23.4,-90,21.114
3407.96,705.98,23.798,-90,20.793
595.65,2561.03,26.647,-90,17.962
1051.8,3558.22,17.173,-90,24.479
1322.21,2863.74,26.401,-90,12.923
3090.73,2375.85,23.911,-90,23.067
2082.04,3576.13,24.864,-90,20.017
2577.69,2721.04,23.501,-90,21.291
2476.64,3577.99,25.376,-90,16.259
335.52,1947.38,27.344,-90,23.516
2761.06,1536.21,25.712,-90,15.784
613.99,3414.85,25.532,-90,17.024
3066.88,3740.15,31.226,-90,25.055
2665.28,1009.39,21.626,-90,14.647
3220.59,1478.66,26.842,-90,19.081
1558.97,840.26,17.706,-90,5.726
1220.3,648.55,25.384,-90,18.804
442.72,1537.61,27.864,-90,22.128
2685.92,2367.06,-inf,-90,-6.832
60.42,2738.09,30.06,-90,16.515
1335.83,3430.67,23.336,-90,22.649
810.26,3769.43,27.084,-90,20.151
2692.64,2169.06,25.546,-90,19.448
2287.92,1967.24,23.721,-90,11.67
929.97,252.79,21.728,-90,22.532
3084.45,3730.24,31.17,-90,17.935
1219.55,902.57,27.025,-90,17.75
1744.43,315.59,28.508,-90,23.124
3612.43,918.12,25.203,-90,10.473
3229.78,2608.35,22.984,-90,22.872
3121.24,1813.44,22.34,-90,5.027
751.78,1920.3,17.667,-90,17.302
615.12,1073.48,17.771,-90,15.995
3361.42,1181.78,24.654,-90,10.674
1373.94,1980.0,30.577,-90,16.963
1049.82,1798.26,10.573,-90,19.834
2864.87,978.8,24.927,-90,15.64
1362.27,1777.76,28.192,-90,15.289
708.03,1118.86,12.405,-90,15.598
2481.24,2591.22,29.556,-90,19.837
1384.72,952.03,19.09,-90,14.061
2579.72,3370.51,25.532,-90,7.606
3819.99,151.19,23.085,-90,21.362
2842.11,3281.53,10.635,-90,15.055
2538.33,2585.68,18.691,-90,21.724
1450.83,2653.31,23.851,-90,17.68
828.81,2505.96,22.282,-90,20.461
1095.37,706.14,20.738,-90,25.018
2655.71,3358.05,18.486,-90,4.876
1198.06,354.1,8.599,-90,22.491
1463.4,3060.75,18.563,-90,16.583
3649.51,1460.07,23.628,-90,19.515
