1883.48,590.25,22.237
2401.83,3815.4,30.299
2166.0,2389.96,7.488
805.36,2958.78,21.602
519.69,3904.25,25.79
1534.28,384.11,27.523
945.23,262.5,22.455
446.53,1856.19,20.101
1609.42,3743.61,17.095
3584.81,3077.16,29.727
2431.04,318.59,16.822
569.98,1824.84,23.986
3904.14,1421.27,31.714
3580.37,2456.15,9.628
2539.52,2165.97,26.179
3129.06,3974.32,27.652
568.12,3145.36,17.948
2442.71,2703.65,5.914
1283.83,3068.84,18.417
484.05,3888.0,21.523
3842.57,3759.36,17.949
2956.04,1806.45,16.272
3866.53,2706.13,25.819
2480.05,57.21,29.817
1889.88,1165.45,19.87
3328.09,2333.62,25.915
1466.16,991.22,24.568
2076.85,3710.71,25.539
3923.21,1563.01,32.579
1937.17,1742.35,29.405
2602.37,709.67,26.434
387.04,3726.41,34.554
3527.06,3854.58,22.661
1278.78,2883.47,28.625
2062.2,1135.3,19.944
1915.63,299.24,30.522
3811.12,2685.18,26.413
2417.74,2806.42,19.709
196.42,5.65,23.4
3407.96,705.98,23.798
595.65,2561.03,26.647
1051.8,3558.22,17.173
1322.21,2863.74,26.401
3090.73,2375.85,23.911
2082.04,3576.13,24.864
2577.69,2721.04,23.501
2476.64,3577.99,25.376
335.52,1947.38,27.344
2761.06,1536.21,25.712
613.99,3414.85,25.532
3066.88,3740.15,31.226
2665.28,1009.39,21.626
3220.59,1478.66,26.842
1558.97,840.26,17.706
1220.3,648.55,25.384
442.72,1537.61,27.864
2685.92,2367.06,-inf
60.42,2738.09,30.06
1335.83,3430.67,23.336
810.26,3769.43,27.084
2692.64,2169.06,25.546
2287.92,1967.24,23.721
929.97,252.79,21.728
3084.45,3730.24,31.17
1219.55,902.57,27.025
1744.43,315.59,28.508
3612.43,918.12,25.203
3229.78,2608.35,22.984
3121.24,1813.44,22.34
751.78,1920.3,17.667
615.12,1073.48,17.771
3361.42,1181.78,24.654
1373.94,1980.0,30.577
1049.82,1798.26,10.573
2864.87,978.8,24.927
1362.27,1777.76,28.192
708.03,1118.86,12.405
2481.24,2591.22,29.556
1384.72,952.03,19.09
2579.72,3370.51,25.532
3819.99,151.19,23.085
2842.11,3281.53,10.635
2538.33,2585.68,18.691
1450.83,2653.31,23.851
828.81,2505.96,22.282
1095.37,706.14,20.738
2655.71,3358.05,18.486
1198.06,354.1,8.599
1463.4,3060.75,18.563
3649.51,1460.07,23.628
1838.96,1034.69,19.786
1425.94,2886.25,15.78
2137.06,451.47,27.876
2680.33,1429.59,21.306
2764.63,600.25,28.219
499.81,3757.77,28.039
2917.4,2702.78,28.636
790.23,3446.79,22.916
675.44,2754.46,24.411
117.03,1557.9,19.633
3265.42,2212.32,19.0
2132.44,2484.56,19.381
720.39,2329.58,25.803
2463.7,1727.91,19.363
1335.81,2907.11,22.808
2557.42,2033.82,22.072
3777.96,484.77,23.356
1022.0,3977.47,28.569
2550.85,3809.18,23.157
2250.58,3705.76,28.467
1020.0,168.79,12.282
2579.03,3547.85,33.475
2038.09,621.24,23.932
1936.14,3718.25,18.27
0.47,2944.19,31.158
1795.53,317.11,24.702
1521.24,1246.22,5.988
3567.99,2114.08,20.225
326.41,2877.4,22.211
342.69,3653.51,28.602
3575.75,528.35,8.378
3016.88,1629.99,21.369
715.96,453.3,12.456
1713.28,2376.05,25.177
2443.83,3867.25,23.029
3370.69,1848.68,28.781
542.98,975.72,12.77
2019.04,2159.73,23.547
1076.95,1259.45,23.766
2112.43,2238.29,27.491
3911.02,2650.6,-inf
2564.38,3901.05,30.2
527.04,2731.2,9.386
3143.95,521.04,26.548
3663.39,2855.31,19.299
1106.73,3657.43,11.501
176.37,3379.47,34.761
1770.91,1432.66,13.646
1133.71,2974.56,24.844
33.73,1509.95,20.463
1391.72,3137.05,11.404
3045.68,3494.87,23.92
3989.21,2917.43,26.042
3094.72,2418.46,24.047
1845.63,3030.37,22.863
2199.34,3448.59,29.534
2154.8,1792.7,30.283
1424.63,2506.88,24.182
3292.97,2777.26,25.705
989.95,3818.79,31.759
1114.3,2135.22,25.287
2765.28,2624.08,18.973
3239.21,3938.74,28.29
2796.19,3219.64,10.039
2959.4,3484.15,-10.171
2552.64,1858.2,21.384
3213.75,291.64,26.289
505.26,674.25,30.439
1541.57,2451.47,23.568
1564.1,3253.66,14.586
2724.34,381.78,35.124
84.16,1163.79,19.888
15.84,972.52,27.747
1727.99,1845.07,22.293
855.62,306.09,31.446
1799.56,2002.78,22.278
1003.56,2007.77,24.14
2792.14,3286.96,23.56
667.4,19.92,15.195
2301.88,2991.21,9.948
1825.46,1168.96,20.853
2144.38,3619.57,30.014
3378.84,3398.87,16.779
3447.02,1760.31,22.567
3498.72,726.88,25.289
2939.18,3698.44,14.716
1808.27,1790.09,22.038
855.59,626.54,18.647
2980.46,3764.26,15.745
15.59,3280.22,22.797
2787.16,2189.93,22.208
2106.44,722.52,29.991
545.97,3761.33,30.707
3674.47,212.05,24.684
2920.49,2861.85,15.674
2721.32,866.8,28.181
3693.8,3566.04,12.428
106.68,1020.6,28.111
1727.48,3055.95,17.176
2286.96,3149.19,29.584
868.18,3143.15,23.417
1472.9,1285.71,22.104
3376.6,1977.01,23.579
2715.0,2632.11,15.292
3902.97,2506.71,17.103
1210.51,252.44,12.853
338.51,3364.92,27.747
3155.55,1573.23,23.131
